Mini2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.697,0.661,0.771,0.712,0.699,0.766,0.749,0.75,0.77,0.907,0.867,0.778,0.765,0.019,0.007,0.037
0.04,0.791,0.756,0.85,0.805,0.793,0.849,0.835,0.833,0.851,0.953,0.917,0.859,0.848,0.026,0.01,0.046
0.06,0.845,0.814,0.891,0.856,0.842,0.89,0.879,0.874,0.891,0.97,0.939,0.899,0.889,0.032,0.012,0.055
0.08,0.878,0.852,0.915,0.887,0.873,0.916,0.906,0.897,0.914,0.979,0.95,0.923,0.913,0.039,0.015,0.065
0.1,0.9,0.878,0.931,0.907,0.892,0.931,0.923,0.914,0.93,0.984,0.957,0.938,0.929,0.047,0.018,0.074
0.12,0.916,0.897,0.941,0.922,0.906,0.941,0.935,0.925,0.94,0.987,0.963,0.948,0.94,0.054,0.021,0.082
0.14,0.928,0.91,0.948,0.933,0.917,0.948,0.944,0.934,0.948,0.99,0.966,0.955,0.947,0.062,0.024,0.09
0.16,0.936,0.921,0.954,0.941,0.925,0.954,0.95,0.94,0.954,0.991,0.969,0.961,0.953,0.07,0.027,0.097
0.18,0.943,0.93,0.959,0.947,0.932,0.959,0.956,0.945,0.958,0.992,0.972,0.965,0.958,0.079,0.03,0.102
0.2,0.949,0.938,0.963,0.952,0.938,0.963,0.96,0.95,0.962,0.993,0.974,0.968,0.962,0.087,0.034,0.109
0.22,0.954,0.944,0.966,0.956,0.943,0.966,0.963,0.953,0.965,0.994,0.975,0.97,0.965,0.096,0.037,0.117
0.24,0.958,0.948,0.969,0.959,0.946,0.969,0.966,0.957,0.968,0.994,0.977,0.973,0.968,0.105,0.041,0.123
0.26,0.961,0.952,0.97,0.962,0.95,0.971,0.969,0.96,0.97,0.995,0.978,0.975,0.97,0.114,0.045,0.127
0.28,0.963,0.956,0.972,0.964,0.953,0.973,0.971,0.962,0.972,0.995,0.979,0.976,0.972,0.123,0.049,0.133
0.3,0.966,0.959,0.974,0.966,0.955,0.975,0.973,0.965,0.973,0.995,0.98,0.978,0.973,0.133,0.053,0.138
0.32,0.967,0.962,0.976,0.968,0.957,0.976,0.974,0.967,0.975,0.996,0.981,0.98,0.975,0.142,0.057,0.144
0.34,0.969,0.965,0.977,0.97,0.959,0.978,0.976,0.968,0.976,0.996,0.982,0.98,0.976,0.152,0.062,0.149
0.36,0.971,0.967,0.978,0.972,0.961,0.979,0.977,0.97,0.977,0.996,0.982,0.981,0.977,0.162,0.066,0.156
0.38,0.972,0.969,0.979,0.973,0.963,0.98,0.979,0.971,0.979,0.996,0.983,0.982,0.978,0.171,0.071,0.161
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
