Mini2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.693,0.66,0.77,0.711,0.692,0.765,0.745,0.748,0.771,0.907,0.86,0.77,0.76,0.019,0.008,0.042
0.04,0.786,0.757,0.853,0.806,0.784,0.848,0.832,0.832,0.852,0.954,0.915,0.852,0.844,0.026,0.01,0.052
0.06,0.84,0.813,0.893,0.856,0.835,0.888,0.877,0.876,0.892,0.971,0.938,0.895,0.887,0.033,0.013,0.06
0.08,0.875,0.852,0.917,0.887,0.865,0.912,0.903,0.9,0.915,0.98,0.95,0.918,0.912,0.04,0.016,0.069
0.1,0.897,0.877,0.931,0.908,0.887,0.929,0.921,0.916,0.931,0.985,0.958,0.933,0.928,0.047,0.019,0.078
0.12,0.914,0.897,0.941,0.922,0.902,0.939,0.932,0.927,0.942,0.988,0.963,0.944,0.939,0.055,0.022,0.085
0.14,0.926,0.91,0.948,0.932,0.914,0.947,0.942,0.935,0.949,0.989,0.966,0.951,0.947,0.063,0.025,0.093
0.16,0.935,0.921,0.953,0.94,0.922,0.953,0.949,0.942,0.955,0.991,0.969,0.957,0.953,0.071,0.028,0.1
0.18,0.943,0.929,0.957,0.947,0.929,0.957,0.954,0.947,0.96,0.992,0.971,0.961,0.958,0.079,0.032,0.105
0.2,0.948,0.937,0.961,0.952,0.935,0.961,0.959,0.952,0.963,0.993,0.973,0.965,0.962,0.088,0.035,0.113
0.22,0.953,0.943,0.963,0.956,0.94,0.964,0.962,0.956,0.967,0.993,0.975,0.968,0.965,0.097,0.038,0.118
0.24,0.957,0.948,0.967,0.96,0.944,0.967,0.965,0.958,0.969,0.994,0.976,0.971,0.967,0.106,0.042,0.125
0.26,0.96,0.952,0.969,0.962,0.948,0.969,0.968,0.961,0.971,0.994,0.978,0.972,0.97,0.115,0.046,0.132
0.28,0.963,0.955,0.97,0.965,0.951,0.971,0.97,0.963,0.973,0.994,0.979,0.974,0.972,0.124,0.05,0.138
0.3,0.965,0.958,0.973,0.967,0.954,0.973,0.972,0.966,0.975,0.995,0.98,0.975,0.973,0.134,0.054,0.144
0.32,0.967,0.961,0.974,0.969,0.957,0.974,0.974,0.968,0.977,0.995,0.981,0.977,0.975,0.143,0.058,0.149
0.34,0.969,0.963,0.975,0.971,0.959,0.975,0.975,0.969,0.978,0.996,0.982,0.978,0.976,0.153,0.063,0.155
0.36,0.971,0.965,0.977,0.973,0.961,0.976,0.977,0.971,0.979,0.996,0.982,0.979,0.977,0.163,0.067,0.161
0.38,0.972,0.968,0.978,0.974,0.963,0.977,0.978,0.972,0.98,0.996,0.983,0.98,0.978,0.172,0.071,0.165
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
