Rel2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.368,0.331,0.457,0.375,0.37,0.458,0.401,0.407,0.457,0.544,0.508,0.471,0.439,0.007,0.005,0.019
0.04,0.487,0.451,0.6,0.505,0.499,0.6,0.536,0.544,0.6,0.717,0.673,0.614,0.582,0.009,0.006,0.024
0.06,0.572,0.535,0.685,0.592,0.585,0.685,0.622,0.629,0.684,0.809,0.765,0.698,0.669,0.012,0.008,0.028
0.08,0.633,0.598,0.742,0.654,0.645,0.741,0.681,0.686,0.744,0.862,0.822,0.757,0.727,0.015,0.01,0.032
0.1,0.68,0.647,0.784,0.701,0.689,0.781,0.724,0.728,0.782,0.896,0.858,0.798,0.768,0.019,0.012,0.035
0.12,0.716,0.685,0.812,0.735,0.722,0.811,0.756,0.758,0.812,0.918,0.883,0.827,0.798,0.022,0.014,0.039
0.14,0.746,0.716,0.835,0.762,0.749,0.832,0.781,0.782,0.835,0.934,0.901,0.85,0.822,0.026,0.016,0.044
0.16,0.769,0.741,0.852,0.784,0.77,0.85,0.801,0.801,0.852,0.945,0.914,0.867,0.84,0.03,0.018,0.048
0.18,0.789,0.763,0.866,0.802,0.788,0.864,0.818,0.816,0.866,0.954,0.924,0.881,0.855,0.035,0.02,0.051
0.2,0.806,0.782,0.877,0.818,0.802,0.875,0.831,0.829,0.879,0.959,0.932,0.892,0.867,0.039,0.023,0.055
0.22,0.82,0.797,0.886,0.83,0.815,0.885,0.844,0.84,0.888,0.963,0.938,0.901,0.877,0.044,0.025,0.057
0.24,0.832,0.81,0.895,0.842,0.826,0.894,0.854,0.85,0.895,0.967,0.943,0.909,0.886,0.05,0.028,0.06
0.26,0.843,0.822,0.902,0.851,0.836,0.901,0.863,0.859,0.903,0.97,0.947,0.915,0.893,0.055,0.031,0.063
0.28,0.852,0.832,0.907,0.859,0.845,0.907,0.87,0.867,0.909,0.972,0.951,0.921,0.9,0.061,0.033,0.065
0.3,0.86,0.841,0.913,0.866,0.852,0.912,0.877,0.874,0.915,0.974,0.954,0.926,0.905,0.067,0.036,0.068
0.32,0.867,0.85,0.917,0.872,0.859,0.917,0.883,0.88,0.919,0.975,0.956,0.93,0.91,0.073,0.039,0.07
0.34,0.873,0.858,0.921,0.878,0.865,0.921,0.889,0.886,0.924,0.977,0.959,0.934,0.915,0.079,0.043,0.074
0.36,0.878,0.864,0.924,0.884,0.87,0.925,0.894,0.891,0.927,0.978,0.961,0.938,0.918,0.086,0.046,0.077
0.38,0.883,0.869,0.929,0.889,0.875,0.928,0.899,0.896,0.931,0.979,0.963,0.941,0.922,0.093,0.049,0.08
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
