SIP2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.22,0.217,0.247,0.235,0.245,0.244,0.246,0.263,0.241,0.302,0.299,0.249,0.265,0.023,0.061,0.068
1,0.584,0.587,0.602,0.603,0.619,0.603,0.618,0.643,0.601,0.685,0.686,0.611,0.623,0.071,0.187,0.203
1.5,0.803,0.808,0.795,0.814,0.828,0.796,0.823,0.841,0.794,0.865,0.863,0.801,0.807,0.118,0.306,0.316
2,0.895,0.899,0.869,0.9,0.909,0.875,0.904,0.915,0.872,0.926,0.924,0.873,0.876,0.154,0.388,0.388
2.5,0.932,0.937,0.903,0.936,0.94,0.907,0.937,0.945,0.907,0.949,0.949,0.906,0.906,0.183,0.444,0.433
3,0.954,0.959,0.929,0.957,0.961,0.932,0.958,0.966,0.931,0.968,0.968,0.929,0.93,0.213,0.495,0.467
3.5,0.969,0.973,0.947,0.972,0.975,0.949,0.972,0.978,0.947,0.98,0.979,0.946,0.948,0.248,0.545,0.498
4,0.978,0.982,0.958,0.98,0.983,0.96,0.98,0.985,0.958,0.986,0.986,0.958,0.959,0.282,0.59,0.527
4.5,0.983,0.986,0.967,0.985,0.987,0.968,0.985,0.989,0.966,0.99,0.989,0.966,0.967,0.315,0.629,0.549
5,0.987,0.989,0.972,0.987,0.99,0.974,0.988,0.991,0.972,0.992,0.992,0.972,0.972,0.345,0.663,0.569
5.5,0.989,0.991,0.976,0.99,0.992,0.978,0.99,0.993,0.976,0.994,0.993,0.976,0.977,0.375,0.692,0.588
6,0.991,0.992,0.98,0.991,0.993,0.981,0.992,0.994,0.98,0.995,0.994,0.98,0.98,0.402,0.719,0.606
6.5,0.992,0.993,0.982,0.992,0.994,0.983,0.993,0.995,0.983,0.995,0.995,0.983,0.983,0.428,0.741,0.624
7,0.993,0.994,0.985,0.994,0.994,0.986,0.994,0.995,0.985,0.996,0.996,0.985,0.985,0.452,0.761,0.639
7.5,0.994,0.995,0.987,0.995,0.995,0.988,0.995,0.996,0.988,0.997,0.996,0.987,0.987,0.475,0.779,0.654
8,0.994,0.996,0.988,0.995,0.996,0.989,0.996,0.997,0.989,0.997,0.997,0.989,0.989,0.497,0.796,0.666
8.5,0.995,0.996,0.99,0.996,0.996,0.991,0.996,0.997,0.991,0.998,0.997,0.99,0.99,0.518,0.811,0.678
9,0.996,0.996,0.991,0.996,0.997,0.992,0.997,0.997,0.992,0.998,0.998,0.991,0.991,0.537,0.824,0.691
9.5,0.996,0.997,0.992,0.997,0.997,0.993,0.997,0.997,0.993,0.998,0.998,0.992,0.992,0.556,0.836,0.704
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
