SIP2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.219,0.219,0.247,0.231,0.241,0.239,0.245,0.257,0.237,0.3,0.299,0.248,0.266,0.023,0.058,0.066
1,0.579,0.581,0.602,0.597,0.616,0.597,0.61,0.634,0.593,0.691,0.682,0.602,0.622,0.07,0.183,0.198
1.5,0.797,0.803,0.795,0.81,0.823,0.789,0.815,0.832,0.792,0.865,0.86,0.792,0.803,0.117,0.3,0.308
2,0.891,0.896,0.868,0.894,0.905,0.866,0.899,0.908,0.869,0.923,0.921,0.866,0.872,0.151,0.38,0.382
2.5,0.929,0.933,0.899,0.929,0.938,0.9,0.932,0.939,0.901,0.947,0.946,0.898,0.902,0.179,0.435,0.426
3,0.952,0.956,0.925,0.953,0.959,0.924,0.954,0.959,0.925,0.967,0.964,0.923,0.927,0.209,0.485,0.458
3.5,0.968,0.97,0.944,0.968,0.973,0.944,0.97,0.974,0.942,0.979,0.977,0.941,0.945,0.242,0.535,0.486
4,0.976,0.979,0.956,0.977,0.981,0.955,0.979,0.982,0.954,0.986,0.984,0.953,0.957,0.276,0.58,0.514
4.5,0.981,0.985,0.964,0.982,0.986,0.964,0.983,0.986,0.962,0.989,0.988,0.963,0.965,0.308,0.619,0.54
5,0.985,0.989,0.97,0.986,0.989,0.97,0.987,0.989,0.969,0.991,0.991,0.969,0.971,0.338,0.654,0.561
5.5,0.987,0.99,0.974,0.989,0.991,0.974,0.989,0.991,0.973,0.993,0.992,0.975,0.975,0.367,0.683,0.58
6,0.989,0.992,0.978,0.991,0.992,0.978,0.991,0.992,0.978,0.994,0.993,0.979,0.979,0.394,0.71,0.597
6.5,0.991,0.993,0.98,0.992,0.994,0.981,0.992,0.993,0.981,0.995,0.995,0.982,0.982,0.42,0.733,0.613
7,0.992,0.994,0.983,0.993,0.994,0.984,0.993,0.994,0.983,0.996,0.995,0.985,0.985,0.444,0.754,0.627
7.5,0.993,0.995,0.985,0.995,0.995,0.986,0.994,0.995,0.986,0.997,0.996,0.987,0.987,0.467,0.773,0.641
8,0.994,0.995,0.987,0.995,0.996,0.988,0.995,0.996,0.989,0.997,0.997,0.988,0.988,0.489,0.79,0.654
8.5,0.995,0.996,0.989,0.996,0.996,0.989,0.996,0.996,0.99,0.998,0.997,0.99,0.99,0.509,0.805,0.664
9,0.996,0.996,0.991,0.997,0.997,0.991,0.996,0.997,0.992,0.998,0.998,0.991,0.991,0.529,0.819,0.675
9.5,0.996,0.997,0.992,0.997,0.997,0.992,0.997,0.997,0.993,0.998,0.998,0.992,0.992,0.547,0.831,0.688
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
