dZ2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.738,0.74,0.733,0.744,0.752,0.733,0.753,0.763,0.734,0.789,0.783,0.738,0.738,0.202,0.374,0.366
0.01,0.914,0.918,0.898,0.917,0.921,0.901,0.92,0.925,0.899,0.933,0.932,0.9,0.9,0.336,0.568,0.527
0.015,0.956,0.957,0.94,0.957,0.959,0.945,0.958,0.962,0.944,0.964,0.963,0.943,0.942,0.433,0.677,0.605
0.02,0.971,0.972,0.959,0.972,0.973,0.963,0.972,0.975,0.963,0.976,0.976,0.961,0.959,0.509,0.745,0.649
0.025,0.978,0.979,0.969,0.979,0.979,0.972,0.979,0.981,0.972,0.982,0.982,0.971,0.969,0.57,0.794,0.685
0.03,0.982,0.983,0.976,0.983,0.983,0.978,0.983,0.985,0.978,0.985,0.986,0.977,0.975,0.62,0.83,0.708
0.035,0.985,0.986,0.98,0.986,0.986,0.982,0.986,0.987,0.982,0.988,0.988,0.981,0.979,0.662,0.856,0.732
0.04,0.987,0.988,0.983,0.988,0.988,0.985,0.988,0.989,0.984,0.989,0.989,0.984,0.982,0.697,0.877,0.752
0.045,0.989,0.989,0.986,0.989,0.989,0.987,0.989,0.99,0.987,0.991,0.99,0.987,0.984,0.727,0.894,0.767
0.05,0.99,0.99,0.987,0.99,0.99,0.988,0.99,0.991,0.988,0.991,0.991,0.988,0.986,0.753,0.908,0.781
0.055,0.991,0.991,0.989,0.991,0.991,0.989,0.991,0.992,0.99,0.992,0.992,0.99,0.988,0.776,0.919,0.792
0.06,0.992,0.992,0.99,0.992,0.992,0.991,0.992,0.993,0.991,0.993,0.993,0.991,0.989,0.796,0.928,0.802
0.065,0.992,0.993,0.991,0.993,0.993,0.992,0.993,0.994,0.992,0.994,0.994,0.992,0.99,0.813,0.936,0.812
0.07,0.993,0.993,0.992,0.994,0.993,0.992,0.994,0.994,0.993,0.995,0.994,0.993,0.991,0.828,0.942,0.819
0.075,0.994,0.994,0.992,0.994,0.994,0.993,0.994,0.995,0.994,0.995,0.995,0.993,0.992,0.842,0.948,0.826
0.08,0.994,0.994,0.993,0.995,0.994,0.993,0.995,0.995,0.994,0.995,0.995,0.994,0.992,0.855,0.953,0.833
0.085,0.995,0.995,0.993,0.995,0.995,0.994,0.995,0.995,0.995,0.996,0.996,0.995,0.993,0.866,0.958,0.838
0.09,0.995,0.995,0.994,0.996,0.995,0.994,0.996,0.996,0.996,0.996,0.996,0.995,0.994,0.876,0.961,0.843
0.095,0.995,0.996,0.995,0.996,0.996,0.995,0.996,0.996,0.996,0.997,0.997,0.996,0.994,0.884,0.964,0.847
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
