dZ2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.748,0.756,0.747,0.754,0.765,0.745,0.762,0.773,0.742,0.802,0.797,0.748,0.749,0.205,0.378,0.361
0.01,0.917,0.92,0.903,0.918,0.921,0.901,0.921,0.925,0.901,0.937,0.933,0.902,0.902,0.339,0.57,0.519
0.015,0.955,0.957,0.942,0.956,0.957,0.943,0.958,0.959,0.942,0.966,0.963,0.942,0.941,0.436,0.676,0.599
0.02,0.97,0.972,0.959,0.969,0.971,0.96,0.972,0.972,0.959,0.977,0.974,0.96,0.958,0.511,0.745,0.647
0.025,0.978,0.979,0.969,0.977,0.978,0.97,0.979,0.979,0.969,0.983,0.979,0.969,0.968,0.572,0.793,0.684
0.03,0.982,0.983,0.975,0.982,0.982,0.977,0.983,0.983,0.974,0.986,0.983,0.976,0.974,0.622,0.829,0.711
0.035,0.985,0.986,0.98,0.984,0.985,0.981,0.986,0.985,0.979,0.988,0.986,0.981,0.978,0.664,0.856,0.734
0.04,0.987,0.988,0.982,0.987,0.987,0.984,0.988,0.988,0.982,0.989,0.988,0.984,0.982,0.699,0.878,0.753
0.045,0.988,0.99,0.985,0.989,0.988,0.986,0.989,0.989,0.985,0.991,0.99,0.986,0.984,0.729,0.895,0.767
0.05,0.99,0.991,0.987,0.99,0.99,0.988,0.99,0.99,0.986,0.992,0.992,0.988,0.986,0.755,0.909,0.781
0.055,0.991,0.992,0.989,0.991,0.991,0.989,0.991,0.991,0.988,0.993,0.992,0.99,0.988,0.777,0.92,0.792
0.06,0.992,0.992,0.99,0.992,0.992,0.991,0.992,0.992,0.99,0.994,0.993,0.991,0.989,0.797,0.929,0.801
0.065,0.993,0.993,0.991,0.993,0.992,0.992,0.993,0.993,0.991,0.994,0.994,0.992,0.99,0.814,0.937,0.808
0.07,0.994,0.994,0.992,0.994,0.993,0.993,0.994,0.994,0.992,0.995,0.994,0.993,0.991,0.83,0.943,0.816
0.075,0.994,0.994,0.992,0.995,0.994,0.993,0.994,0.994,0.993,0.996,0.995,0.994,0.992,0.844,0.949,0.823
0.08,0.994,0.994,0.993,0.995,0.995,0.994,0.995,0.995,0.994,0.997,0.995,0.995,0.993,0.856,0.954,0.83
0.085,0.995,0.995,0.994,0.996,0.995,0.995,0.996,0.995,0.994,0.997,0.996,0.995,0.994,0.867,0.959,0.836
0.09,0.995,0.995,0.994,0.996,0.996,0.996,0.996,0.996,0.995,0.997,0.997,0.996,0.994,0.877,0.962,0.842
0.095,0.996,0.996,0.995,0.997,0.996,0.996,0.996,0.996,0.996,0.998,0.997,0.996,0.995,0.886,0.966,0.847
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
