dZ2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.826,0.834,0.809,0.832,0.837,0.811,0.835,0.844,0.806,0.854,0.855,0.808,0.807,0.212,0.4,0.406
0.01,0.944,0.947,0.927,0.946,0.949,0.93,0.948,0.954,0.928,0.956,0.956,0.924,0.923,0.347,0.584,0.535
0.015,0.97,0.971,0.957,0.971,0.973,0.96,0.973,0.975,0.959,0.977,0.977,0.956,0.953,0.445,0.689,0.599
0.02,0.979,0.98,0.971,0.98,0.982,0.973,0.982,0.983,0.972,0.985,0.984,0.97,0.966,0.52,0.756,0.64
0.025,0.984,0.985,0.979,0.985,0.986,0.98,0.986,0.988,0.979,0.989,0.988,0.977,0.974,0.58,0.803,0.672
0.03,0.987,0.987,0.983,0.988,0.989,0.984,0.989,0.99,0.984,0.991,0.991,0.982,0.978,0.629,0.837,0.698
0.035,0.989,0.989,0.985,0.99,0.99,0.987,0.991,0.992,0.987,0.992,0.992,0.986,0.982,0.67,0.863,0.72
0.04,0.991,0.99,0.987,0.991,0.992,0.989,0.992,0.993,0.989,0.993,0.993,0.988,0.985,0.704,0.883,0.737
0.045,0.992,0.992,0.989,0.992,0.993,0.991,0.993,0.994,0.991,0.994,0.994,0.99,0.987,0.734,0.9,0.752
0.05,0.993,0.993,0.99,0.993,0.994,0.992,0.994,0.994,0.992,0.995,0.995,0.991,0.988,0.759,0.913,0.766
0.055,0.994,0.994,0.992,0.994,0.995,0.993,0.994,0.995,0.993,0.996,0.996,0.993,0.99,0.781,0.924,0.777
0.06,0.994,0.994,0.992,0.995,0.995,0.994,0.995,0.996,0.994,0.996,0.996,0.994,0.991,0.801,0.933,0.785
0.065,0.995,0.995,0.994,0.995,0.996,0.995,0.996,0.996,0.995,0.997,0.997,0.994,0.992,0.818,0.94,0.794
0.07,0.995,0.996,0.995,0.996,0.996,0.995,0.996,0.997,0.995,0.997,0.997,0.995,0.993,0.833,0.947,0.802
0.075,0.996,0.996,0.995,0.996,0.997,0.996,0.997,0.997,0.996,0.997,0.998,0.996,0.994,0.847,0.952,0.809
0.08,0.996,0.996,0.996,0.997,0.997,0.996,0.997,0.997,0.996,0.998,0.998,0.996,0.994,0.859,0.957,0.815
0.085,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.997,0.998,0.998,0.997,0.995,0.87,0.961,0.821
0.09,0.997,0.997,0.997,0.997,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.996,0.879,0.965,0.826
0.095,0.997,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.999,0.999,0.998,0.996,0.888,0.968,0.83
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
