Mini2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.715,0.681,0.784,0.737,0.724,0.782,0.772,0.769,0.785,0.914,0.872,0.792,0.78,0.055,0.029,0.108
0.04,0.814,0.782,0.867,0.834,0.821,0.867,0.859,0.852,0.866,0.959,0.923,0.872,0.864,0.076,0.041,0.141
0.06,0.87,0.844,0.909,0.886,0.871,0.908,0.904,0.893,0.907,0.976,0.944,0.912,0.906,0.097,0.053,0.177
0.08,0.904,0.882,0.933,0.916,0.901,0.933,0.93,0.916,0.93,0.985,0.956,0.936,0.93,0.119,0.066,0.213
0.1,0.926,0.908,0.948,0.936,0.921,0.947,0.946,0.933,0.945,0.99,0.963,0.951,0.945,0.141,0.078,0.257
0.12,0.943,0.928,0.957,0.951,0.934,0.957,0.958,0.944,0.955,0.992,0.968,0.961,0.956,0.164,0.091,0.288
0.14,0.954,0.94,0.964,0.961,0.944,0.964,0.966,0.952,0.963,0.994,0.972,0.968,0.963,0.189,0.103,0.306
0.16,0.963,0.951,0.969,0.969,0.952,0.969,0.972,0.958,0.969,0.995,0.975,0.973,0.968,0.214,0.117,0.329
0.18,0.97,0.959,0.974,0.974,0.958,0.973,0.977,0.962,0.973,0.996,0.977,0.976,0.973,0.239,0.13,0.346
0.2,0.975,0.966,0.978,0.978,0.963,0.977,0.98,0.966,0.977,0.997,0.979,0.979,0.976,0.265,0.145,0.37
0.22,0.979,0.971,0.981,0.981,0.968,0.98,0.983,0.97,0.979,0.998,0.98,0.981,0.979,0.291,0.159,0.392
0.24,0.982,0.975,0.982,0.984,0.971,0.982,0.985,0.973,0.981,0.998,0.982,0.984,0.981,0.317,0.174,0.411
0.26,0.985,0.978,0.983,0.986,0.973,0.984,0.987,0.975,0.983,0.998,0.983,0.985,0.983,0.344,0.189,0.427
0.28,0.987,0.981,0.985,0.988,0.976,0.986,0.989,0.977,0.985,0.999,0.984,0.987,0.985,0.37,0.204,0.445
0.3,0.989,0.984,0.987,0.99,0.978,0.987,0.99,0.979,0.986,0.999,0.984,0.988,0.986,0.397,0.22,0.46
0.32,0.99,0.987,0.988,0.991,0.979,0.988,0.991,0.98,0.987,0.999,0.985,0.989,0.987,0.423,0.235,0.484
0.34,0.991,0.989,0.989,0.992,0.981,0.989,0.992,0.982,0.988,0.999,0.986,0.99,0.988,0.448,0.252,0.494
0.36,0.992,0.99,0.99,0.993,0.982,0.99,0.993,0.983,0.989,0.999,0.986,0.991,0.989,0.473,0.267,0.517
0.38,0.993,0.992,0.99,0.994,0.984,0.99,0.994,0.984,0.989,0.999,0.987,0.991,0.99,0.496,0.284,0.536
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
