Rel2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.391,0.362,0.478,0.403,0.391,0.474,0.421,0.428,0.477,0.552,0.516,0.481,0.464,0.016,0.014,0.027
0.04,0.52,0.481,0.622,0.537,0.525,0.62,0.561,0.569,0.624,0.725,0.682,0.626,0.61,0.024,0.021,0.04
0.06,0.607,0.571,0.71,0.625,0.615,0.707,0.649,0.657,0.71,0.818,0.775,0.716,0.698,0.033,0.028,0.052
0.08,0.67,0.637,0.765,0.686,0.677,0.763,0.708,0.716,0.767,0.872,0.829,0.774,0.755,0.044,0.037,0.07
0.1,0.718,0.685,0.804,0.733,0.723,0.803,0.752,0.756,0.806,0.906,0.866,0.815,0.797,0.055,0.045,0.085
0.12,0.757,0.725,0.834,0.768,0.758,0.833,0.785,0.788,0.836,0.929,0.892,0.845,0.828,0.068,0.055,0.094
0.14,0.788,0.757,0.856,0.798,0.786,0.855,0.811,0.813,0.858,0.944,0.909,0.867,0.851,0.081,0.065,0.106
0.16,0.813,0.785,0.873,0.821,0.808,0.874,0.831,0.832,0.876,0.956,0.922,0.886,0.869,0.096,0.075,0.125
0.18,0.833,0.808,0.889,0.839,0.826,0.888,0.849,0.848,0.89,0.963,0.933,0.899,0.884,0.111,0.086,0.138
0.2,0.852,0.827,0.899,0.855,0.841,0.899,0.863,0.861,0.901,0.968,0.94,0.91,0.896,0.127,0.096,0.146
0.22,0.867,0.842,0.91,0.868,0.854,0.908,0.875,0.873,0.911,0.973,0.946,0.919,0.906,0.145,0.107,0.161
0.24,0.878,0.855,0.917,0.879,0.865,0.917,0.886,0.883,0.919,0.976,0.951,0.926,0.914,0.163,0.119,0.175
0.26,0.889,0.867,0.925,0.888,0.876,0.924,0.895,0.892,0.926,0.979,0.955,0.933,0.922,0.182,0.131,0.182
0.28,0.898,0.878,0.931,0.897,0.885,0.931,0.902,0.899,0.932,0.981,0.959,0.939,0.928,0.202,0.144,0.191
0.3,0.906,0.887,0.935,0.904,0.892,0.936,0.909,0.906,0.937,0.983,0.962,0.943,0.933,0.223,0.157,0.203
0.32,0.912,0.895,0.941,0.91,0.899,0.941,0.916,0.912,0.942,0.984,0.965,0.947,0.938,0.244,0.17,0.216
0.34,0.918,0.903,0.946,0.917,0.905,0.945,0.922,0.918,0.946,0.986,0.967,0.951,0.942,0.266,0.183,0.226
0.36,0.924,0.909,0.949,0.923,0.91,0.948,0.927,0.923,0.948,0.987,0.969,0.954,0.946,0.288,0.197,0.239
0.38,0.929,0.915,0.953,0.928,0.915,0.952,0.932,0.928,0.951,0.988,0.971,0.957,0.949,0.31,0.211,0.258
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
