Rel2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.386,0.363,0.473,0.402,0.394,0.476,0.422,0.426,0.476,0.554,0.514,0.48,0.462,0.018,0.015,0.033
0.04,0.513,0.485,0.619,0.534,0.527,0.622,0.561,0.567,0.62,0.725,0.679,0.627,0.608,0.028,0.022,0.046
0.06,0.602,0.572,0.705,0.624,0.614,0.708,0.648,0.654,0.707,0.815,0.773,0.716,0.695,0.039,0.03,0.059
0.08,0.667,0.637,0.761,0.686,0.675,0.766,0.708,0.713,0.765,0.869,0.83,0.773,0.754,0.051,0.039,0.074
0.1,0.715,0.687,0.802,0.733,0.722,0.808,0.752,0.755,0.804,0.902,0.866,0.814,0.795,0.064,0.048,0.089
0.12,0.753,0.727,0.833,0.768,0.756,0.838,0.785,0.787,0.833,0.926,0.892,0.844,0.826,0.078,0.058,0.101
0.14,0.783,0.759,0.857,0.797,0.784,0.86,0.811,0.81,0.857,0.941,0.91,0.866,0.849,0.093,0.068,0.114
0.16,0.808,0.785,0.875,0.819,0.807,0.878,0.831,0.83,0.875,0.953,0.923,0.883,0.868,0.109,0.078,0.127
0.18,0.828,0.807,0.889,0.838,0.826,0.892,0.848,0.846,0.89,0.961,0.932,0.897,0.882,0.126,0.089,0.136
0.2,0.845,0.826,0.901,0.854,0.841,0.903,0.863,0.86,0.902,0.967,0.94,0.909,0.895,0.144,0.1,0.15
0.22,0.861,0.843,0.91,0.867,0.854,0.913,0.875,0.871,0.912,0.971,0.946,0.919,0.905,0.163,0.112,0.16
0.24,0.874,0.858,0.919,0.879,0.866,0.921,0.886,0.881,0.92,0.975,0.951,0.927,0.914,0.182,0.124,0.172
0.26,0.884,0.871,0.927,0.889,0.876,0.928,0.895,0.89,0.927,0.978,0.955,0.933,0.921,0.202,0.136,0.186
0.28,0.894,0.881,0.932,0.898,0.885,0.934,0.903,0.898,0.933,0.98,0.959,0.939,0.927,0.223,0.15,0.202
0.3,0.902,0.89,0.937,0.906,0.892,0.939,0.91,0.905,0.939,0.982,0.962,0.943,0.933,0.245,0.164,0.213
0.32,0.91,0.899,0.942,0.913,0.899,0.944,0.917,0.911,0.943,0.984,0.964,0.948,0.938,0.267,0.178,0.223
0.34,0.917,0.906,0.946,0.919,0.905,0.948,0.923,0.917,0.947,0.986,0.967,0.952,0.942,0.29,0.192,0.236
0.36,0.922,0.912,0.95,0.924,0.911,0.951,0.929,0.922,0.951,0.987,0.969,0.955,0.946,0.313,0.207,0.248
0.38,0.927,0.919,0.953,0.929,0.916,0.955,0.934,0.927,0.954,0.988,0.971,0.957,0.949,0.336,0.222,0.26
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
