SIP2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.221,0.218,0.253,0.236,0.249,0.244,0.248,0.264,0.243,0.303,0.301,0.25,0.278,0.034,0.067,0.073
1,0.586,0.59,0.611,0.607,0.625,0.603,0.621,0.646,0.605,0.687,0.688,0.615,0.639,0.101,0.199,0.246
1.5,0.807,0.809,0.802,0.818,0.833,0.8,0.826,0.844,0.797,0.867,0.866,0.804,0.817,0.162,0.313,0.371
2,0.898,0.902,0.875,0.903,0.913,0.878,0.907,0.919,0.876,0.928,0.926,0.876,0.882,0.203,0.389,0.453
2.5,0.935,0.94,0.908,0.939,0.944,0.911,0.94,0.948,0.909,0.951,0.951,0.909,0.91,0.234,0.437,0.496
3,0.958,0.962,0.934,0.961,0.965,0.936,0.961,0.968,0.933,0.971,0.97,0.932,0.934,0.27,0.487,0.534
3.5,0.973,0.977,0.952,0.975,0.978,0.953,0.975,0.98,0.951,0.982,0.981,0.95,0.952,0.31,0.537,0.565
4,0.982,0.985,0.964,0.983,0.986,0.964,0.983,0.987,0.961,0.988,0.988,0.961,0.963,0.35,0.582,0.592
4.5,0.987,0.989,0.972,0.988,0.99,0.972,0.988,0.992,0.969,0.992,0.992,0.969,0.971,0.387,0.622,0.617
5,0.99,0.992,0.977,0.991,0.993,0.978,0.991,0.994,0.975,0.994,0.994,0.975,0.976,0.421,0.657,0.642
5.5,0.993,0.994,0.982,0.993,0.995,0.982,0.993,0.995,0.979,0.996,0.995,0.979,0.981,0.454,0.687,0.67
6,0.994,0.996,0.985,0.994,0.996,0.985,0.994,0.997,0.983,0.996,0.997,0.983,0.984,0.483,0.716,0.69
6.5,0.995,0.997,0.987,0.995,0.997,0.987,0.996,0.997,0.985,0.997,0.997,0.985,0.987,0.511,0.74,0.704
7,0.996,0.998,0.989,0.996,0.997,0.989,0.997,0.998,0.988,0.998,0.998,0.988,0.989,0.537,0.762,0.724
7.5,0.997,0.998,0.991,0.997,0.998,0.991,0.997,0.998,0.99,0.998,0.998,0.99,0.991,0.561,0.782,0.741
8,0.998,0.999,0.992,0.998,0.999,0.993,0.998,0.999,0.992,0.999,0.999,0.991,0.992,0.585,0.801,0.758
8.5,0.998,0.999,0.993,0.998,0.999,0.994,0.998,0.999,0.993,0.999,0.999,0.993,0.994,0.606,0.818,0.775
9,0.999,0.999,0.994,0.999,0.999,0.995,0.999,0.999,0.994,0.999,0.999,0.994,0.995,0.627,0.831,0.786
9.5,0.999,0.999,0.995,0.999,0.999,0.996,0.999,1,0.995,1,1,0.995,0.995,0.646,0.844,0.803
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
