SIP2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.214,0.218,0.236,0.227,0.235,0.233,0.239,0.25,0.23,0.287,0.287,0.236,0.253,0.025,0.051,0.088
1,0.569,0.575,0.587,0.586,0.604,0.584,0.603,0.62,0.58,0.668,0.669,0.585,0.603,0.077,0.156,0.232
1.5,0.793,0.799,0.785,0.804,0.817,0.78,0.813,0.83,0.779,0.853,0.853,0.779,0.789,0.125,0.252,0.341
2,0.889,0.895,0.864,0.896,0.903,0.861,0.898,0.912,0.859,0.921,0.92,0.857,0.862,0.162,0.318,0.415
2.5,0.928,0.934,0.899,0.932,0.939,0.896,0.933,0.942,0.895,0.947,0.946,0.891,0.893,0.191,0.365,0.46
3,0.95,0.955,0.923,0.953,0.958,0.92,0.954,0.961,0.919,0.965,0.965,0.913,0.917,0.22,0.409,0.486
3.5,0.963,0.969,0.939,0.968,0.972,0.938,0.968,0.974,0.936,0.977,0.977,0.932,0.935,0.254,0.455,0.523
4,0.973,0.978,0.951,0.976,0.98,0.949,0.977,0.982,0.949,0.984,0.984,0.945,0.947,0.287,0.497,0.551
4.5,0.979,0.983,0.959,0.982,0.985,0.958,0.983,0.987,0.958,0.989,0.989,0.954,0.956,0.318,0.536,0.572
5,0.983,0.987,0.966,0.986,0.989,0.965,0.987,0.99,0.965,0.992,0.991,0.961,0.963,0.347,0.57,0.589
5.5,0.986,0.99,0.97,0.989,0.991,0.971,0.989,0.992,0.97,0.993,0.993,0.966,0.968,0.375,0.601,0.609
6,0.989,0.992,0.975,0.991,0.993,0.975,0.991,0.994,0.974,0.994,0.994,0.971,0.972,0.401,0.629,0.627
6.5,0.991,0.993,0.978,0.992,0.994,0.977,0.993,0.995,0.978,0.995,0.996,0.975,0.976,0.426,0.653,0.641
7,0.992,0.994,0.981,0.994,0.995,0.98,0.994,0.996,0.981,0.996,0.996,0.978,0.979,0.449,0.676,0.657
7.5,0.993,0.995,0.983,0.995,0.996,0.982,0.995,0.997,0.983,0.997,0.997,0.98,0.982,0.471,0.697,0.671
8,0.995,0.996,0.985,0.995,0.997,0.984,0.996,0.997,0.985,0.997,0.997,0.982,0.984,0.492,0.717,0.687
8.5,0.995,0.997,0.986,0.996,0.997,0.986,0.996,0.998,0.987,0.998,0.998,0.985,0.986,0.512,0.734,0.7
9,0.996,0.997,0.988,0.997,0.998,0.988,0.997,0.998,0.988,0.998,0.998,0.986,0.988,0.531,0.751,0.713
9.5,0.997,0.998,0.989,0.997,0.998,0.989,0.997,0.998,0.989,0.998,0.998,0.988,0.989,0.549,0.766,0.721
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
