dZ2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.74,0.742,0.739,0.746,0.756,0.735,0.755,0.766,0.737,0.791,0.785,0.742,0.745,0.246,0.37,0.412
0.01,0.916,0.918,0.903,0.92,0.925,0.904,0.923,0.929,0.903,0.935,0.935,0.904,0.904,0.397,0.562,0.596
0.015,0.958,0.96,0.945,0.96,0.963,0.949,0.961,0.965,0.948,0.967,0.966,0.947,0.945,0.502,0.672,0.676
0.02,0.974,0.975,0.964,0.976,0.976,0.967,0.975,0.978,0.966,0.979,0.979,0.965,0.963,0.583,0.745,0.732
0.025,0.982,0.982,0.975,0.983,0.983,0.977,0.983,0.984,0.976,0.984,0.985,0.975,0.973,0.647,0.798,0.765
0.03,0.986,0.986,0.981,0.987,0.987,0.983,0.987,0.988,0.981,0.988,0.989,0.981,0.979,0.7,0.838,0.796
0.035,0.989,0.989,0.985,0.99,0.99,0.987,0.989,0.991,0.986,0.991,0.991,0.985,0.983,0.743,0.869,0.831
0.04,0.991,0.992,0.989,0.992,0.992,0.989,0.991,0.992,0.988,0.992,0.992,0.989,0.987,0.78,0.892,0.85
0.045,0.993,0.993,0.991,0.993,0.993,0.991,0.992,0.994,0.99,0.994,0.993,0.991,0.989,0.812,0.911,0.865
0.05,0.994,0.994,0.993,0.994,0.994,0.993,0.994,0.995,0.992,0.994,0.994,0.992,0.991,0.839,0.928,0.883
0.055,0.995,0.995,0.994,0.995,0.995,0.994,0.995,0.996,0.993,0.995,0.995,0.994,0.993,0.864,0.94,0.896
0.06,0.996,0.995,0.995,0.996,0.996,0.995,0.996,0.997,0.994,0.996,0.996,0.995,0.994,0.885,0.951,0.914
0.065,0.997,0.996,0.996,0.996,0.997,0.996,0.997,0.997,0.995,0.997,0.997,0.996,0.995,0.904,0.961,0.931
0.07,0.998,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.996,0.997,0.997,0.996,0.996,0.922,0.969,0.944
0.075,0.998,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.997,0.938,0.976,0.95
0.08,0.999,0.998,0.998,0.999,0.998,0.998,0.998,0.999,0.998,0.998,0.999,0.998,0.998,0.952,0.982,0.964
0.085,0.999,0.999,0.998,0.999,0.999,0.998,0.999,0.999,0.998,0.999,0.999,0.999,0.998,0.966,0.988,0.973
0.09,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.978,0.993,0.984
0.095,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.989,0.996,0.988
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
