dZ2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.746,0.754,0.751,0.757,0.767,0.748,0.765,0.776,0.745,0.803,0.798,0.75,0.754,0.248,0.379,0.405
0.01,0.918,0.918,0.908,0.92,0.924,0.904,0.924,0.927,0.902,0.938,0.935,0.905,0.904,0.4,0.567,0.581
0.015,0.957,0.959,0.948,0.958,0.961,0.946,0.961,0.962,0.944,0.968,0.965,0.945,0.944,0.505,0.673,0.669
0.02,0.972,0.974,0.965,0.972,0.974,0.963,0.975,0.975,0.962,0.979,0.977,0.963,0.961,0.585,0.745,0.719
0.025,0.98,0.982,0.974,0.979,0.981,0.973,0.982,0.982,0.971,0.985,0.982,0.973,0.971,0.649,0.797,0.765
0.03,0.984,0.986,0.981,0.984,0.985,0.98,0.986,0.986,0.977,0.988,0.986,0.979,0.978,0.7,0.835,0.794
0.035,0.988,0.99,0.985,0.987,0.989,0.984,0.989,0.988,0.981,0.99,0.989,0.984,0.982,0.743,0.865,0.818
0.04,0.99,0.992,0.988,0.989,0.99,0.987,0.991,0.991,0.985,0.991,0.991,0.987,0.985,0.78,0.89,0.833
0.045,0.991,0.994,0.99,0.991,0.992,0.989,0.993,0.992,0.988,0.993,0.993,0.99,0.988,0.812,0.91,0.85
0.05,0.993,0.995,0.992,0.993,0.993,0.991,0.994,0.993,0.99,0.994,0.994,0.992,0.99,0.839,0.926,0.87
0.055,0.994,0.995,0.994,0.994,0.994,0.992,0.995,0.994,0.991,0.995,0.995,0.993,0.992,0.863,0.94,0.896
0.06,0.995,0.996,0.995,0.995,0.995,0.994,0.996,0.995,0.993,0.996,0.996,0.994,0.993,0.885,0.951,0.908
0.065,0.996,0.997,0.996,0.996,0.996,0.995,0.997,0.996,0.994,0.997,0.996,0.995,0.995,0.904,0.96,0.912
0.07,0.997,0.997,0.996,0.997,0.997,0.996,0.997,0.997,0.995,0.997,0.997,0.996,0.996,0.922,0.969,0.924
0.075,0.997,0.998,0.997,0.997,0.997,0.997,0.998,0.997,0.996,0.998,0.998,0.997,0.997,0.938,0.976,0.934
0.08,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.999,0.998,0.998,0.997,0.952,0.982,0.951
0.085,0.999,0.999,0.998,0.999,0.999,0.998,0.999,0.998,0.998,0.999,0.999,0.999,0.998,0.966,0.988,0.967
0.09,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.978,0.992,0.979
0.095,0.999,1,0.999,1,1,0.999,1,1,0.999,1,1,0.999,0.999,0.989,0.996,0.993
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
