dZ2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.005,0.826,0.831,0.811,0.833,0.838,0.813,0.837,0.845,0.808,0.855,0.856,0.81,0.81,0.261,0.398,0.456
0.01,0.945,0.947,0.93,0.948,0.951,0.931,0.949,0.955,0.929,0.957,0.957,0.927,0.926,0.413,0.582,0.604
0.015,0.972,0.972,0.96,0.973,0.975,0.961,0.975,0.977,0.961,0.979,0.978,0.958,0.955,0.52,0.69,0.682
0.02,0.981,0.982,0.974,0.982,0.983,0.974,0.983,0.985,0.974,0.986,0.986,0.972,0.969,0.599,0.76,0.732
0.025,0.985,0.986,0.982,0.987,0.988,0.981,0.988,0.989,0.981,0.99,0.99,0.979,0.976,0.661,0.81,0.77
0.03,0.988,0.989,0.985,0.99,0.99,0.986,0.991,0.992,0.986,0.992,0.992,0.984,0.981,0.711,0.848,0.805
0.035,0.991,0.991,0.988,0.992,0.992,0.989,0.993,0.993,0.989,0.994,0.993,0.988,0.985,0.753,0.876,0.832
0.04,0.993,0.992,0.99,0.993,0.994,0.991,0.994,0.994,0.991,0.995,0.994,0.99,0.987,0.789,0.899,0.855
0.045,0.994,0.994,0.992,0.994,0.995,0.993,0.995,0.995,0.993,0.995,0.995,0.992,0.989,0.819,0.917,0.876
0.05,0.995,0.995,0.993,0.995,0.996,0.994,0.996,0.996,0.994,0.996,0.996,0.993,0.991,0.846,0.932,0.899
0.055,0.996,0.996,0.994,0.996,0.996,0.995,0.996,0.997,0.995,0.997,0.997,0.995,0.993,0.869,0.944,0.912
0.06,0.997,0.996,0.995,0.997,0.997,0.996,0.997,0.997,0.996,0.997,0.997,0.996,0.994,0.89,0.954,0.926
0.065,0.997,0.997,0.996,0.997,0.998,0.997,0.997,0.998,0.997,0.998,0.998,0.996,0.995,0.908,0.963,0.936
0.07,0.998,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.996,0.925,0.971,0.948
0.075,0.998,0.998,0.998,0.999,0.998,0.998,0.998,0.999,0.998,0.999,0.999,0.998,0.997,0.941,0.978,0.959
0.08,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.998,0.999,0.999,0.998,0.998,0.954,0.983,0.968
0.085,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.967,0.988,0.979
0.09,1,1,1,1,1,0.999,0.999,1,0.999,1,1,0.999,0.999,0.979,0.993,0.986
0.095,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.997,0.994
0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
